StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
NSW,130,Lyne,NP,Nationals,18717,DREW,Rob,N,N
NSW,130,Lyne,CEC,Citizens Electoral Council,18723,MULDOON,Graeme,N,N
NSW,130,Lyne,IND,Independent,18721,OAKESHOTT,Robert,Y,N
NSW,130,Lyne,DLP,D.L.P. - Democratic Labor Party,18711,O'DONOHUE,Michael Patrick,N,N
NSW,130,Lyne,GRN,The Greens,18708,RUSSELL,Susie,N,N
NSW,130,Lyne,IND,Independent,18457,SCOTT-IRVING,Stewart,N,N
NSW,130,Lyne,FPY,The Fishing Party,18709,SMITH,Bob,N,N
NSW,130,Lyne,IND,Independent,17316,WRIGHT,Barry,N,N
