StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
VIC,213,Gippsland,3836,Toorloo Arm,346,71.78,136,28.22,482,14.18
VIC,213,Gippsland,4428,Traralgon,2073,62.5,1244,37.5,3317,10.5
VIC,213,Gippsland,4429,Traralgon East,1473,57.79,1076,42.21,2549,11.36
VIC,213,Gippsland,4389,Traralgon North,2199,62.63,1312,37.37,3511,13.15
VIC,213,Gippsland,46515,Traralgon North East,725,62.29,439,37.71,1164,8.47
VIC,213,Gippsland,4430,Traralgon South,266,58.33,190,41.67,456,6.94
VIC,213,Gippsland,4431,Traralgon West,558,61.12,355,38.88,913,10.2
VIC,213,Gippsland,4432,Tyers,278,57.56,205,42.44,483,5.63
VIC,213,Gippsland,3837,Valencia Creek,88,71.54,35,28.46,123,1.2
VIC,213,Gippsland,3839,Won Wron,74,74.75,25,25.25,99,12.36
VIC,213,Gippsland,3840,Woodside,240,70.18,102,29.82,342,9.08
VIC,213,Gippsland,3843,Wurruk,228,74.51,78,25.49,306,9.6
VIC,213,Gippsland,3844,Wy Yung,603,72.74,226,27.26,829,1.77
VIC,213,Gippsland,3846,Yarram,921,70.85,379,29.15,1300,5.68
VIC,213,Gippsland,3847,Yinnar,492,60.22,325,39.78,817,10.56
