DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
130,Lyne,NSW,17198,Mark,VAILE,The Nationals,NP
196,Lyons,TAS,17500,Dick,ADAMS,Australian Labor Party,ALP
131,Macarthur,NSW,18075,Pat,FARMER,Liberal,LP
132,Mackellar,NSW,17868,Bronwyn,BISHOP,Liberal,LP
133,Macquarie,NSW,18087,Bob,DEBUS,Australian Labor Party,ALP
187,Makin,SA,17939,Tony,ZAPPIA,Australian Labor Party,ALP
224,Mallee,VIC,17297,John,FORREST,The Nationals,NP
170,Maranoa,QLD,17173,Bruce,SCOTT,The Nationals,NP
225,Maribyrnong,VIC,18059,Bill,SHORTEN,Australian Labor Party,ALP
188,Mayo,SA,17653,Alexander,DOWNER,Liberal,LP
226,McEwen,VIC,17265,Fran,BAILEY,Liberal,LP
227,McMillan,VIC,17251,Russell,BROADBENT,Liberal,LP
171,McPherson,QLD,17753,Margaret,MAY,Liberal,LP
228,Melbourne,VIC,18091,Lindsay,TANNER,Australian Labor Party,ALP
230,Melbourne Ports,VIC,18093,Michael,DANBY,Australian Labor Party,ALP
229,Menzies,VIC,17256,Kevin,ANDREWS,Liberal,LP
134,Mitchell,NSW,17899,Alex,HAWKE,Liberal,LP
172,Moncrieff,QLD,17746,Steven,CIOBO,Liberal,LP
242,Moore,WA,17216,Mal,WASHER,Liberal,LP
173,Moreton,QLD,17532,Graham,PERRETT,Australian Labor Party,ALP
231,Murray,VIC,17258,Sharman,STONE,Liberal,LP
135,New England,NSW,13274,Tony,WINDSOR,Independent,IND
136,Newcastle,NSW,18084,Sharon,GRIERSON,Australian Labor Party,ALP
137,North Sydney,NSW,17876,Joe,HOCKEY,Liberal,LP
243,O'Connor,WA,17208,Wilson,TUCKEY,Liberal,LP
174,Oxley,QLD,17517,Bernie,RIPOLL,Australian Labor Party,ALP
138,Page,NSW,18214,Janelle,SAFFIN,Australian Labor Party,ALP
139,Parkes,NSW,17204,Mark,COULTON,The Nationals,NP
140,Parramatta,NSW,18069,Julie,OWENS,Australian Labor Party,ALP
249,Paterson,NSW,17859,Bob,BALDWIN,Liberal,LP
244,Pearce,WA,17219,Judi,MOYLAN,Liberal,LP
245,Perth,WA,17480,Stephen,SMITH,Australian Labor Party,ALP
175,Petrie,QLD,17595,Yvette,D'ATH,Australian Labor Party,ALP
189,Port Adelaide,SA,17750,Mark,BUTLER,Australian Labor Party,ALP
