DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
168,Leichhardt,QLD,20754,Warren,ENTSCH,Liberal National Party of Queensland,LNQ
169,Lilley,QLD,21552,Wayne,SWAN,Australian Labor Party,ALP
128,Lindsay,NSW,21283,David,BRADBURY,Australian Labor Party,ALP
306,Lingiari,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP
302,Longman,QLD,20752,Wyatt,ROY,Liberal National Party of Queensland,LNQ
130,Lyne,NSW,21912,Robert,OAKESHOTT,Independent,IND
196,Lyons,TAS,20926,Dick,ADAMS,Australian Labor Party,ALP
131,Macarthur,NSW,21649,Russell,MATHESON,Liberal,LP
132,Mackellar,NSW,21550,Bronwyn,BISHOP,Liberal,LP
133,Macquarie,NSW,21790,Louise,MARKUS,Liberal,LP
187,Makin,SA,20945,Tony,ZAPPIA,Australian Labor Party,ALP
224,Mallee,VIC,21078,John,FORREST,The Nationals,NP
170,Maranoa,QLD,20736,Bruce,SCOTT,Liberal National Party of Queensland,LNQ
225,Maribyrnong,VIC,21369,Bill,SHORTEN,Australian Labor Party,ALP
188,Mayo,SA,20816,Jamie,BRIGGS,Liberal,LP
226,McEwen,VIC,21088,Rob,MITCHELL,Australian Labor Party,ALP
315,McMahon,NSW,21260,Chris,BOWEN,Australian Labor Party,ALP
227,McMillan,VIC,21320,Russell,BROADBENT,Liberal,LP
171,McPherson,QLD,20749,Karen,ANDREWS,Liberal National Party of Queensland,LNQ
228,Melbourne,VIC,21657,Adam,BANDT,The Greens,GRN
230,Melbourne Ports,VIC,21599,Michael David,DANBY,Australian Labor Party,ALP
229,Menzies,VIC,21103,Kevin,ANDREWS,Liberal,LP
134,Mitchell,NSW,21595,Alex,HAWKE,Liberal,LP
172,Moncrieff,QLD,20758,Steven,CIOBO,Liberal National Party of Queensland,LNQ
242,Moore,WA,20854,Mal,WASHER,Liberal,LP
173,Moreton,QLD,21541,Graham,PERRETT,Australian Labor Party,ALP
231,Murray,VIC,21059,Sharman,STONE,Liberal,LP
135,New England,NSW,13274,Tony,WINDSOR,Independent,IND
136,Newcastle,NSW,21396,Sharon,GRIERSON,Australian Labor Party,ALP
137,North Sydney,NSW,21692,Joe,HOCKEY,Liberal,LP
243,O'Connor,WA,21139,Tony,CROOK,The Nationals,NP
174,Oxley,QLD,21586,Bernie,RIPOLL,Australian Labor Party,ALP
138,Page,NSW,21495,Janelle,SAFFIN,Australian Labor Party,ALP
139,Parkes,NSW,21023,Mark,COULTON,The Nationals,NP
140,Parramatta,NSW,21461,Julie,OWENS,Australian Labor Party,ALP
249,Paterson,NSW,21675,Bob,BALDWIN,Liberal,LP
244,Pearce,WA,20861,Judi,MOYLAN,Liberal,LP
245,Perth,WA,20904,Stephen Francis,SMITH,Australian Labor Party,ALP
175,Petrie,QLD,21505,Yvette,D'ATH,Australian Labor Party,ALP
189,Port Adelaide,SA,21003,Mark,BUTLER,Australian Labor Party,ALP
176,Rankin,QLD,21854,Craig,EMERSON,Australian Labor Party,ALP
144,Reid,NSW,21438,John,MURPHY,Australian Labor Party,ALP
145,Richmond,NSW,21416,Justine,ELLIOT,Australian Labor Party,ALP
250,Riverina,NSW,21095,Michael,McCORMACK,The Nationals,NP
146,Robertson,NSW,21435,Deborah,O'NEILL,Australian Labor Party,ALP
177,Ryan,QLD,20737,Jane,PRENTICE,Liberal National Party of Queensland,LNQ
232,Scullin,VIC,21077,Harry,JENKINS,Australian Labor Party,ALP
148,Shortland,NSW,21423,Jill,HALL,Australian Labor Party,ALP
307,Solomon,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP
246,Stirling,WA,20868,Michael,KEENAN,Liberal,LP
190,Sturt,SA,20834,Christopher,PYNE,Liberal,LP
247,Swan,WA,20883,Steve,IRONS,Liberal,LP
149,Sydney,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,WA,20859,Dennis,JENSEN,Liberal,LP
150,Throsby,NSW,21431,Stephen,JONES,Australian Labor Party,ALP
191,Wakefield,SA,21047,Nick,CHAMPION,Australian Labor Party,ALP
233,Wannon,VIC,21063,Dan,TEHAN,Liberal,LP
151,Warringah,NSW,21590,Tony,ABBOTT,Liberal,LP
251,Watson,NSW,21582,Tony,BURKE,Australian Labor Party,ALP
152,Wentworth,NSW,21557,Malcolm,TURNBULL,Liberal,LP
153,Werriwa,NSW,21591,Laurie,FERGUSON,Australian Labor Party,ALP
178,Wide Bay,QLD,20745,Warren,TRUSS,Liberal National Party of Queensland,LNQ
234,Wills,VIC,21073,Kelvin,THOMSON,Australian Labor Party,ALP
316,Wright,QLD,20746,Scott,BUCHHOLZ,Liberal National Party of Queensland,LNQ
